Part Number,Component Description,Sub-System,Supplier,Supplier Country,Ordered Date,Estimated Delivery Date,Lead Time (Wks),Status,Notes (AI Summary)
ELC-GEN-45,Integrated Drive Generator (45 KVA),Electrical,Collins Aerospace,USA,2025-12-16,2026-01-13,4,On Track,CRISIS MODE: Test failure on unit #2. Supplier airlifting replacement; production schedule at risk.
FLT-FBW-CP,Fly-by-Wire Flight Control Computer,Flight Controls,BAE Systems,UK,2025-09-23,2026-01-13,16,On Track,All redundancy testing complete. Units in bonded storage awaiting final assembly schedule.
WNG-FLP-TE,Trailing Edge Flap Assembly (Outboard),Wing Structure,Aernnova Aerospace,Spain,2025-12-15,2026-01-19,5,On Track,Flaps received ahead of schedule. Dimensional inspection passed; ready for wing mate.
APU-GTC-85,Auxiliary Power Unit (Gas Turbine),Propulsion,Pratt & Whitney Canada,Canada,2025-12-23,2026-01-20,4,On Track,Final acceptance test scheduled tomorrow. Export documentation being prepared in parallel.
INT-SEA-BC,Business Class Seat Assembly (16 units),Interior,Recaro Aircraft Seating,Germany,2025-11-10,2026-01-26,10,On Track,Leather supplier delay impacting cushion production. Evaluating alternative material to maintain schedule.
CPT-WND-01,Cockpit Windshield Assembly (Heated),Fuselage,PPG Aerospace,USA,2025-12-30,2026-01-27,4,On Track,Glass lamination complete. Anti-ice heating element testing in progress; no issues expected.
LDG-BRK-CB,Carbon Brake Assembly (Main Gear),Landing Gear,Safran Landing Systems,France,2025-12-09,2026-01-20,6,On Track,Cleared French export control. On direct flight to assembly facility; arriving in 2 days.
RAD-WXR-01,Weather Radar System,Avionics,Collins Aerospace,USA,2025-11-11,2026-01-13,9,On Track,Radar dome and transceiver received. Calibration certificates verified and filed.
NCL-INL-01,Engine Inlet Nacelle,Propulsion,Safran Nacelles,France,2025-10-27,2026-02-02,14,On Track,Acoustic liner installation complete. Final NDT inspection scheduled for next week.
WNG-BOX-CF,Composite Wing Box Assembly,Wing Structure,FACC,Austria,2025-11-03,2026-02-09,14,On Track,Autoclave curing complete. Ultrasonic inspection passed with no anomalies detected.
ACT-SRV-01,Primary Flight Control Servo Actuator,Flight Controls,Moog,USA,2025-12-01,2026-02-09,10,On Track,Factory acceptance test completed. Awaiting export license approval.
ENG-GBX-01,Accessory Gearbox Assembly,Propulsion,MTU Aero Engines,Germany,2025-11-17,2026-02-09,12,On Track,Bearing supplier reported 1-week delay. Monitoring closely; may need to expedite final shipment.
CAB-OHB-01,Overhead Bin Assembly (Full Set),Interior,Diehl Aviation,Germany,2025-12-15,2026-02-16,9,On Track,Injection molding complete. LED lighting integration in progress.
FUS-AFT-01,Aft Fuselage Section,Fuselage,Aernnova Aerospace,Spain,2025-10-20,2026-02-16,16,On Track,Major assembly complete. Pressure test scheduled for end of month.
HRN-ELC-01,Main Electrical Wiring Harness,Electrical,Latecoere,France,2025-12-02,2026-02-23,12,On Track,Harness fabrication 80% complete. On schedule for February delivery.
LDG-NOS-01,Nose Landing Gear Assembly,Landing Gear,Liebherr Aerospace,Germany,2025-12-09,2026-03-02,12,On Track,Forging and machining complete. Hydraulic integration underway.
ENG-FAN-01,Engine Fan Module,Propulsion,GE Aerospace,USA,2025-11-10,2026-03-02,16,On Track,Blade set balanced and assembled. Awaiting final vibration testing before shipment.
AVN-DIS-01,Primary Flight Display Unit,Avionics,Thales,France,2026-01-05,2026-03-09,9,On Track,Display panels passed brightness and contrast testing. Software load scheduled next week.
WNG-TIP-01,Winglet Assembly,Wing Structure,Daher,France,2026-01-12,2026-03-16,9,On Track,Composite layup complete. Paint booth scheduled for next month.
INT-GAL-01,Forward Galley Unit,Interior,Collins Aerospace,USA,2025-12-29,2026-03-23,12,On Track,Stainless steel fabrication complete. Electrical integration starting this week.
